〜ぐらい,,about [approximate measurement]
ごめんなさい,,I'm sorry.
だから,,so; therefore
たくさん,,many; a lot
〜と,,together with [a person]
どうして,,why
ひとりで,一人で,alone
もしもし,Hello [hone]
みぎ,右,right
ひだり,左,left
まえ,前,front
うしろ,後ろ,back
なか,中,inside
うえ,上,on
した,下,under
そば,near
となり,隣,next
あいだ,間,between
そこ,,there
ここ,,here
げつようび,月曜日,Monday

Kana,Kanji,English
アルバイト,part-time,job
かいもの,買い物,shopping
クラス,,class
あなた,,you
いぬ,犬,dog
おみやげ,お土産,souvenir
こども,子供,child
ごはん,御飯,rice; meal
しゃしん,写真,picture; photograph
つくえ,机,desk
てがみ,手紙,letter
ねこ,猫,cat
パン,,bread
ひと,人,person
おてら,お寺,temple
こうえん,公園,park
スーパー,,supermarket
デパート,,department store
バスてい,バス停,bus stop
びょういん,病院,hospital
ホテル,,hotel
ほんや,本屋,bookstore
まち,町,town; city
レストラン,,restaurant
きのう,昨日,yesterday
さっき,,a little while ago
〜じかん,〜時間,hour
いちじかん,一時間,one hour
せんしゅう,先週,last week
とき,時,when...; at the time of...
げつようび,月曜日,Monday
かようび,火曜日,Tuesday
すいようび,水曜日,Wednesday
もくようび,木曜日,Thursday
きんようび,金曜日,Friday
あう,会う,to meet; to see [a person]
ある,,there is ...
かう,買う,to buy
かく,書く,to write
とる,撮る,to take [pictures]
まつ,待つ,to wait
わかる,,to understand
いる,,[a person] is in ...; stays at ...
〜ぐらい,,about [approximate measurement]
ごめんなさい,,I'm sorry.
だから,,so; therefore
たくさん,,many; a lot
〜と,,together with [a person]
どうして,,why
ひとりで,一人で,alone
もしもし,,Hello [used on the phone]
みぎ,右,right
ひだり,左,left
まえ,前,front
うしろ,後ろ,back
なか,中,inside
うえ,上,on
した,下,under
そば,,near
となり,隣,next
あいだ,間,between
そこ,,there
ここ,,here

Kana,Kanji,English
うみ,海,sea
きって,切手,postal stamps
きっぷ,切符,ticket
サーフィン,,surfing
しゅくだい,宿題,homework
たべもの,食べ物,food
たんじょうび,誕生日,birthday
テスト,,test
てんき,天気,weather
のみもの,飲み物,drink
はがき,葉書,postcard
バス,,bus
ひこうき,飛行機,airplane
へや,部屋,room
ぼく,僕,I [men]
やすみ,休み,holiday; day off; absence
りょこう,旅行,travel
あたらしい,新しい,new
あつい,暑い,hot [weather]
あつい,熱い,hot [objects]
いそがしい,忙しい,busy [people/days]
おおきい,大きい,large
おもしろい,面白い,interesting
こわい,怖い,frightening
さむい,寒い,cold [weather]
たのしい,楽しい,fun
ちいさい,小さい,small
つまらない,,boring
ふるい,古い,old [thing]
むずかしい,難しい,difficult
やさしい,,easy [problem]; kind [person]
やすい,安い,inexpensive; cheap
きらい（な）,嫌い,disgusted with; to dislike
きれい（な）,,beautiful; clean
げんき（な）,元気,healthy; energetic
しずか（な）,静か,quiet
すき（な）,好き,fond of; to like
だいきらい（な）,大嫌い,to hate
だいすき（な）,大好き,very fond of; to love
にぎやか（な）,,lively
ハンサム（な）,,handsome
ひま（な）,暇,not busy; to have a lot of free time
およぐ,泳ぐ,to swim
きく,聞く,to ask
のる,乗る,to ride; to board
やる,,to do; to perform
でかける,出かける,to go out
いっしょに,一緒に,together
それから,,and then
だいじょうぶ,大丈夫,It's okay; Not to worry; Everything is under control
とても,,very
どんな,,what kind of...
〜まい,〜枚,[counter for flat objects]
〜まで,,to [a place]; as far as [a place]; till [a time]

Kana,Kanji,English
おかね,お金,money
おばあさん,,grandmother; old woman
おふろ,お風呂,bath
かんじ,漢字,kanji; Chinese character
きょうかしょ,教科書,textbook
こんしゅう,今週,this week
しみんびょういん,市民病院,Municipal Hospital
つぎ,次,next
テレビゲーム,,video game
でんき,電気,electricity
でんしゃ,電車,train
にもつ,荷物,baggage
ページ,,page
まど,窓,window
よる,夜,night
らいしゅう,来週,next week
らいねん,来年,next year
たいへん（な）,大変,tough [situation]
あそぶ,遊ぶ,to play; to spend time pleasantly
いそぐ,急ぐ,to hurry
おふろにはいる,お風呂に入る,to take a bath
かえす,返す,to return [things]
けす,消す,to turn off; to erase
しぬ,死ぬ,to die
すわる,座る,to sit down
たつ,立つ,to stand up
たばこをすう,たばこを吸う,to smoke
つかう,使う,to use
てつだう,手伝う,to help
はいる,入る,to enter
もつ,持つ,to carry; to hold
やすむ,休む,to be absent [from]; to rest
あける,開ける,to open [something]
おしえる,教える,to teach; to instruct
おりる,降りる,to get off
かりる,借りる,to borrow
しめる,閉める,to close [something]
つける,,to turn on
でんわをかける,電話をかける,to make a phone call
わすれる,忘れる,to forget; to leave behind
つれてくる,連れてくる,to bring [a person]
もってくる,持ってくる,to bring [a thing]
あとで,後で,later on
おそく,遅く,[do something] late
〜から,,because ...
けっこうです,結構です,That would be fine; That wouldn't be necessary
すぐ,,right away
ほんとうですか,本当ですか,Really
ゆっくり,,slowly; leisurely; unhurriedly

Kana,Kanji,English
あね,姉,my older sister
アパート,,apartment
いもうと,妹,younger sister
うた,歌,song
おとうと,弟,younger brother
おとこのひと,男の人,man
おにいさん,お兄さん,older brother
おねえさん,お姉さん,older sister
おんなのひと,女の人,woman
かいしゃ,会社,company
かぞく,家族,family
かみ,髪,hair
きょうだい,兄弟,brothers and sisters
くに,国,country; place of origin
くるま,車,car
コンビニ,,convenience store
しょくどう,食堂,cafeteria; dining commons
ちち,父,my father
Tシャツ,,T-shirt
め,目,eye
めがね,眼鏡,glasses
あたまがいい,頭がいい,bright; smart; clever
かっこいい,,great-looking
かわいい,,cute
せがたかい,背が高い,tall
せがひくい,背が低い,short stature
ながい,長い,long
はやい,早い,fast
みじかい,短い,short length
しんせつ,親切,kind
べんり,便利,convenient
うたう,歌う,to sing
かぶる,,to put on a hat
しる,知る,to get to know
しっています,知っています,I know
しりません,知りません,I do not know
すむ,住む,to live   
はく,,to put on below waist
ふとる,太る,to gain weight
ふとっています,太っています,to be on fat
めがねをかける,,to put on glasses
きる,着る,to put on above waist
やせる,,to lose weight
やせています,,to be thin
けっこんする,結婚する,to get married
はたらく,働く,to work
が,,but
ひとり,一人,one person
ふたり,二人,two people
もちろん,,of course
よかったら,,if you like
